Race_DriverNumber,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,0 days 01:31:54.067000,Finished,25.0,58.0,1.0,0 days 00:01:28.586000,0 days 00:01:26.894000,0 days 00:01:26.327000,2015,1,Australian Grand Prix
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,2.0,0 days 00:00:01.360000,Finished,18.0,58.0,2.0,0 days 00:01:28.906000,0 days 00:01:27.097000,0 days 00:01:26.921000,2015,1,Australian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,3.0,3,4.0,0 days 00:00:34.523000,Finished,15.0,58.0,4.0,0 days 00:01:29.307000,0 days 00:01:27.742000,0 days 00:01:27.757000,2015,1,Australian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,4.0,4,3.0,0 days 00:00:38.196000,Finished,12.0,58.0,3.0,0 days 00:01:29.246000,0 days 00:01:27.895000,0 days 00:01:27.718000,2015,1,Australian Grand Prix
12,NAS,nasr,Sauber,sauber,Felipe,Nasr,Felipe Nasr,5.0,5,10.0,0 days 00:01:35.149000,Finished,10.0,58.0,11.0,0 days 00:01:30.430000,0 days 00:01:28.800000,,2015,1,Australian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,6.0,6,6.0,,+1 Lap,8.0,57.0,7.0,0 days 00:01:29.788000,0 days 00:01:28.679000,0 days 00:01:28.329000,2015,1,Australian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,7.0,7,13.0,,+1 Lap,6.0,57.0,14.0,0 days 00:01:29.651000,0 days 00:01:29.208000,,2015,1,Australian Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,8.0,8,15.0,,+1 Lap,4.0,57.0,16.0,0 days 00:01:31.376000,,,2015,1,Australian Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,9.0,9,7.0,,+1 Lap,2.0,57.0,8.0,0 days 00:01:29.597000,0 days 00:01:28.601000,0 days 00:01:28.510000,2015,1,Australian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,14.0,,+1 Lap,1.0,57.0,15.0,0 days 00:01:29.990000,0 days 00:01:29.209000,,2015,1,Australian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,16.0,,+2 Laps,0.0,56.0,17.0,0 days 00:01:31.422000,,,2015,1,Australian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,12.0,R,5.0,,Wheel,0.0,40.0,5.0,0 days 00:01:29.754000,0 days 00:01:27.807000,0 days 00:01:27.790000,2015,1,Australian Grand Prix
33,VER,max_verstappen,Toro Rosso,toro_rosso,Max,Verstappen,Max Verstappen,13.0,R,11.0,,Engine,0.0,32.0,12.0,0 days 00:01:29.248000,0 days 00:01:28.868000,,2015,1,Australian Grand Prix
8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,14.0,R,8.0,,Power loss,0.0,0.0,9.0,0 days 00:01:29.537000,0 days 00:01:28.589000,0 days 00:01:28.560000,2015,1,Australian Grand Prix
13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,15.0,R,9.0,,Accident,0.0,0.0,10.0,0 days 00:01:29.847000,0 days 00:01:28.726000,0 days 00:01:29.480000,2015,1,Australian Grand Prix
26,KVY,kvyat,Red Bull,red_bull,Daniil,Kvyat,Daniil Kvyat,16.0,W,12.0,,Withdrew,0.0,0.0,13.0,0 days 00:01:30.402000,0 days 00:01:29.070000,,2015,1,Australian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,17.0,W,17.0,,Withdrew,0.0,0.0,18.0,0 days 00:01:32.037000,,,2015,1,Australian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,18.0,W,0.0,,Withdrew,0.0,0.0,6.0,0 days 00:01:29.641000,0 days 00:01:27.796000,0 days 00:01:28.087000,2015,1,Australian Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,2.0,0 days 01:41:05.793000,Finished,25.0,56.0,2.0,0 days 00:01:39.814000,0 days 00:01:39.632000,0 days 00:01:49.908000,2015,2,Malaysian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,0 days 00:00:08.569000,Finished,18.0,56.0,1.0,0 days 00:01:39.269000,0 days 00:01:41.517000,0 days 00:01:49.834000,2015,2,Malaysian Grand Prix
