Race_DriverNumber,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,1.0,1,3.0,0 days 01:32:58.710000,Finished,25.0,57.0,3.0,0 days 00:01:32.564000,0 days 00:01:42.264000,0 days 00:01:44.595000,2014,1,Australian Grand Prix
20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,2.0,2,4.0,0 days 00:00:26.777000,Finished,18.0,57.0,4.0,0 days 00:01:30.949000,0 days 00:01:43.247000,0 days 00:01:45.745000,2014,1,Australian Grand Prix
22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,3.0,3,10.0,0 days 00:00:30.027000,Finished,15.0,57.0,11.0,0 days 00:01:31.396000,0 days 00:01:44.437000,,2014,1,Australian Grand Prix
14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,4.0,4,5.0,0 days 00:00:35.284000,Finished,12.0,57.0,5.0,0 days 00:01:31.388000,0 days 00:01:42.805000,0 days 00:01:45.819000,2014,1,Australian Grand Prix
77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,5.0,5,15.0,0 days 00:00:47.639000,Finished,10.0,57.0,10.0,0 days 00:01:31.601000,0 days 00:01:43.852000,0 days 00:01:48.147000,2014,1,Australian Grand Prix
27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,7.0,0 days 00:00:50.718000,Finished,8.0,57.0,7.0,0 days 00:01:33.893000,0 days 00:01:43.658000,0 days 00:01:46.030000,2014,1,Australian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,7.0,7,11.0,0 days 00:00:57.675000,Finished,6.0,57.0,12.0,0 days 00:01:32.439000,0 days 00:01:44.494000,,2014,1,Australian Grand Prix
25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,8.0,8,6.0,0 days 00:01:00.441000,Finished,4.0,57.0,6.0,0 days 00:01:33.488000,0 days 00:01:43.849000,0 days 00:01:45.864000,2014,1,Australian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,9.0,9,8.0,0 days 00:01:03.585000,Finished,2.0,57.0,8.0,0 days 00:01:33.777000,0 days 00:01:44.331000,0 days 00:01:47.368000,2014,1,Australian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,10.0,10,16.0,0 days 00:01:25.916000,Finished,1.0,57.0,16.0,0 days 00:01:34.141000,0 days 00:01:47.293000,,2014,1,Australian Grand Prix
