Race_DriverNumber,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,2.0,0 days 01:24:11.672000,Finished,25.0,57.0,2.0,0 days 00:01:25.210000,0 days 00:01:23.401000,0 days 00:01:22.456000,2017,1,Australian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,0 days 00:00:09.975000,Finished,18.0,57.0,1.0,0 days 00:01:24.191000,0 days 00:01:23.251000,0 days 00:01:22.188000,2017,1,Australian Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,3.0,0 days 00:00:11.250000,Finished,15.0,57.0,3.0,0 days 00:01:24.514000,0 days 00:01:23.215000,0 days 00:01:22.481000,2017,1,Australian Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,4.0,0 days 00:00:22.393000,Finished,12.0,57.0,4.0,0 days 00:01:24.352000,0 days 00:01:23.376000,0 days 00:01:23.033000,2017,1,Australian Grand Prix
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,5.0,5,5.0,0 days 00:00:28.827000,Finished,10.0,57.0,5.0,0 days 00:01:24.482000,0 days 00:01:24.092000,0 days 00:01:23.485000,2017,1,Australian Grand Prix
19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,6.0,6,7.0,0 days 00:01:23.386000,Finished,8.0,57.0,7.0,0 days 00:01:25.099000,0 days 00:01:24.597000,0 days 00:01:24.443000,2017,1,Australian Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,7.0,7,10.0,,+1 Lap,6.0,56.0,11.0,0 days 00:01:25.064000,0 days 00:01:25.081000,,2017,1,Australian Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,8.0,8,8.0,,+1 Lap,4.0,56.0,8.0,0 days 00:01:25.542000,0 days 00:01:24.997000,0 days 00:01:24.487000,2017,1,Australian Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,9.0,9,9.0,,+1 Lap,2.0,56.0,9.0,0 days 00:01:25.970000,0 days 00:01:24.864000,0 days 00:01:24.512000,2017,1,Australian Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,10.0,10,13.0,,+1 Lap,1.0,56.0,14.0,0 days 00:01:26.009000,0 days 00:01:25.568000,,2017,1,Australian Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hülkenberg,Nico Hülkenberg,11.0,11,11.0,,+1 Lap,0.0,56.0,12.0,0 days 00:01:24.975000,0 days 00:01:25.091000,,2017,1,Australian Grand Prix
36,GIO,giovinazzi,Sauber,sauber,Antonio,Giovinazzi,Antonio Giovinazzi,12.0,12,16.0,,+2 Laps,0.0,55.0,16.0,0 days 00:01:26.419000,,,2017,1,Australian Grand Prix
2,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,13.0,13,18.0,,+2 Laps,0.0,55.0,18.0,0 days 00:01:26.858000,,,2017,1,Australian Grand Prix
14,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,14.0,R,12.0,,Vibrations,0.0,50.0,13.0,0 days 00:01:25.872000,0 days 00:01:25.425000,,2017,1,Australian Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,15.0,R,17.0,,Suspension,0.0,46.0,17.0,0 days 00:01:26.847000,,,2017,1,Australian Grand Prix
18,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,16.0,R,20.0,,Brakes,0.0,40.0,19.0,0 days 00:01:27.143000,,,2017,1,Australian Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,17.0,R,0.0,,Power Unit,0.0,25.0,10.0,0 days 00:01:25.383000,0 days 00:01:23.989000,,2017,1,Australian Grand Prix
9,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,18.0,R,14.0,,Hydraulics,0.0,21.0,15.0,0 days 00:01:26.236000,0 days 00:01:26.465000,,2017,1,Australian Grand Prix
30,PAL,jolyon_palmer,Renault,renault,Jolyon,Palmer,Jolyon Palmer,19.0,R,19.0,,Brakes,0.0,15.0,20.0,0 days 00:01:28.244000,,,2017,1,Australian Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,20.0,R,6.0,,Water leak,0.0,13.0,6.0,0 days 00:01:25.419000,0 days 00:01:24.718000,0 days 00:01:24.074000,2017,1,Australian Grand Prix
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,0 days 01:37:36.158000,Finished,25.0,56.0,1.0,0 days 00:01:33.333000,0 days 00:01:32.406000,0 days 00:01:31.678000,2017,2,Chinese Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,0 days 00:00:06.250000,Finished,18.0,56.0,2.0,0 days 00:01:33.078000,0 days 00:01:32.391000,0 days 00:01:31.864000,2017,2,Chinese Grand Prix
33,VER,max_verstappen,Red Bull,red_bull,Max,Verstappen,Max Verstappen,3.0,3,16.0,0 days 00:00:45.192000,Finished,15.0,56.0,19.0,0 days 00:01:35.433000,,,2017,2,Chinese Grand Prix
3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,5.0,0 days 00:00:46.035000,Finished,12.0,56.0,5.0,0 days 00:01:34.041000,0 days 00:01:33.546000,0 days 00:01:33.033000,2017,2,Chinese Grand Prix
7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,5.0,5,4.0,0 days 00:00:48.076000,Finished,10.0,56.0,4.0,0 days 00:01:33.341000,0 days 00:01:32.181000,0 days 00:01:32.140000,2017,2,Chinese Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,6.0,6,3.0,0 days 00:00:48.808000,Finished,8.0,56.0,3.0,0 days 00:01:33.684000,0 days 00:01:32.552000,0 days 00:01:31.865000,2017,2,Chinese Grand Prix
55,SAI,sainz,Toro Rosso,toro_rosso,Carlos,Sainz,Carlos Sainz,7.0,7,11.0,0 days 00:01:12.893000,Finished,6.0,56.0,11.0,0 days 00:01:34.567000,0 days 00:01:34.150000,,2017,2,Chinese Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,8.0,8,12.0,,+1 Lap,4.0,55.0,12.0,0 days 00:01:34.942000,0 days 00:01:34.164000,,2017,2,Chinese Grand Prix
11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,8.0,,+1 Lap,2.0,55.0,8.0,0 days 00:01:34.657000,0 days 00:01:33.920000,0 days 00:01:33.706000,2017,2,Chinese Grand Prix
31,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,10.0,10,17.0,,+1 Lap,1.0,55.0,20.0,0 days 00:01:35.496000,,,2017,2,Chinese Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,11.0,11,19.0,,+1 Lap,0.0,55.0,17.0,0 days 00:01:35.223000,,,2017,2,Chinese Grand Prix
