Race_DriverNumber,Race_BroadcastName,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,3.0,0 days 01:29:33.283000,Finished,25.0,58.0,3.0,0 days 00:01:23.348000,0 days 00:01:21.944000,0 days 00:01:21.838000,2018,1,Australian Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,2.0,2,1.0,0 days 00:00:05.036000,Finished,18.0,58.0,1.0,0 days 00:01:22.824000,0 days 00:01:22.051000,0 days 00:01:21.164000,2018,1,Australian Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,2.0,0 days 00:00:06.309000,Finished,15.0,58.0,2.0,0 days 00:01:23.096000,0 days 00:01:22.507000,0 days 00:01:21.828000,2018,1,Australian Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,8.0,0 days 00:00:07.069000,Finished,12.0,58.0,5.0,0 days 00:01:23.494000,0 days 00:01:22.897000,0 days 00:01:22.152000,2018,1,Australian Grand Prix
14,F ALONSO,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,5.0,5,10.0,0 days 00:00:27.886000,Finished,10.0,58.0,11.0,0 days 00:01:23.597000,0 days 00:01:23.692000,,2018,1,Australian Grand Prix
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,6.0,6,4.0,0 days 00:00:28.945000,Finished,8.0,58.0,4.0,0 days 00:01:23.483000,0 days 00:01:22.416000,0 days 00:01:21.879000,2018,1,Australian Grand Prix
27,N HULKENBERG,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,7.0,7,7.0,0 days 00:00:32.671000,Finished,6.0,58.0,8.0,0 days 00:01:23.782000,0 days 00:01:23.544000,0 days 00:01:23.532000,2018,1,Australian Grand Prix
77,V BOTTAS,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,8.0,8,15.0,0 days 00:00:34.339000,Finished,4.0,58.0,10.0,0 days 00:01:23.686000,0 days 00:01:22.089000,,2018,1,Australian Grand Prix
2,S VANDOORNE,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,9.0,9,11.0,0 days 00:00:34.921000,Finished,2.0,58.0,12.0,0 days 00:01:24.073000,0 days 00:01:23.853000,,2018,1,Australian Grand Prix
55,C SAINZ,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,10.0,10,9.0,0 days 00:00:45.722000,Finished,1.0,58.0,9.0,0 days 00:01:23.529000,0 days 00:01:23.061000,0 days 00:01:23.577000,2018,1,Australian Grand Prix
11,S PEREZ,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,11.0,11,12.0,0 days 00:00:46.817000,Finished,0.0,58.0,13.0,0 days 00:01:24.344000,0 days 00:01:24.005000,,2018,1,Australian Grand Prix
31,E OCON,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,12.0,12,14.0,0 days 00:01:00.278000,Finished,0.0,58.0,15.0,0 days 00:01:24.503000,0 days 00:01:24.786000,,2018,1,Australian Grand Prix
16,C LECLERC,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,13.0,13,18.0,0 days 00:01:15.759000,Finished,0.0,58.0,18.0,0 days 00:01:24.636000,,,2018,1,Australian Grand Prix
18,L STROLL,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,13.0,0 days 00:01:18.288000,Finished,0.0,58.0,14.0,0 days 00:01:24.464000,0 days 00:01:24.230000,,2018,1,Australian Grand Prix
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,15.0,15,16.0,,+1 Lap,0.0,57.0,16.0,0 days 00:01:24.532000,,,2018,1,Australian Grand Prix
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,16.0,R,6.0,,Wheel,0.0,24.0,7.0,0 days 00:01:23.671000,0 days 00:01:23.468000,0 days 00:01:23.339000,2018,1,Australian Grand Prix
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,17.0,R,5.0,,Wheel,0.0,22.0,6.0,0 days 00:01:23.909000,0 days 00:01:23.300000,0 days 00:01:23.187000,2018,1,Australian Grand Prix
10,P GASLY,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,18.0,R,20.0,,Engine,0.0,13.0,20.0,0 days 00:01:25.295000,,,2018,1,Australian Grand Prix
9,M ERICSSON,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,19.0,R,17.0,,Steering,0.0,5.0,17.0,0 days 00:01:24.556000,,,2018,1,Australian Grand Prix
35,S SIROTKIN,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,20.0,R,19.0,,Brakes,0.0,4.0,19.0,0 days 00:01:24.922000,,,2018,1,Australian Grand Prix
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,1.0,1,1.0,0 days 01:32:01.940000,Finished,25.0,57.0,1.0,0 days 00:01:29.060000,0 days 00:01:28.341000,0 days 00:01:27.958000,2018,2,Bahrain Grand Prix
77,V BOTTAS,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,3.0,0 days 00:00:00.699000,Finished,18.0,57.0,3.0,0 days 00:01:29.275000,0 days 00:01:28.794000,0 days 00:01:28.124000,2018,2,Bahrain Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,9.0,0 days 00:00:06.512000,Finished,15.0,57.0,4.0,0 days 00:01:29.396000,0 days 00:01:28.458000,0 days 00:01:28.220000,2018,2,Bahrain Grand Prix
10,P GASLY,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,4.0,4,5.0,0 days 00:01:02.234000,Finished,12.0,57.0,6.0,0 days 00:01:30.121000,0 days 00:01:29.836000,0 days 00:01:29.329000,2018,2,Bahrain Grand Prix
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,5.0,5,6.0,0 days 00:01:15.046000,Finished,10.0,57.0,7.0,0 days 00:01:29.594000,0 days 00:01:29.623000,0 days 00:01:29.358000,2018,2,Bahrain Grand Prix
27,N HULKENBERG,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,6.0,6,7.0,0 days 00:01:39.024000,Finished,8.0,57.0,8.0,0 days 00:01:30.260000,0 days 00:01:29.187000,0 days 00:01:29.570000,2018,2,Bahrain Grand Prix
14,F ALONSO,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,13.0,,+1 Lap,6.0,56.0,13.0,0 days 00:01:30.530000,0 days 00:01:30.212000,,2018,2,Bahrain Grand Prix
2,S VANDOORNE,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,8.0,8,14.0,,+1 Lap,4.0,56.0,14.0,0 days 00:01:30.479000,0 days 00:01:30.525000,,2018,2,Bahrain Grand Prix
9,M ERICSSON,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,9.0,9,17.0,,+1 Lap,2.0,56.0,17.0,0 days 00:01:31.063000,,,2018,2,Bahrain Grand Prix
31,E OCON,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,10.0,10,8.0,,+1 Lap,1.0,56.0,9.0,0 days 00:01:30.338000,0 days 00:01:30.009000,0 days 00:01:29.874000,2018,2,Bahrain Grand Prix
55,C SAINZ,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,11.0,11,10.0,,+1 Lap,0.0,56.0,10.0,0 days 00:01:29.893000,0 days 00:01:29.802000,0 days 00:01:29.986000,2018,2,Bahrain Grand Prix
16,C LECLERC,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,12.0,12,19.0,,+1 Lap,0.0,56.0,19.0,0 days 00:01:31.420000,,,2018,2,Bahrain Grand Prix
