Race_DriverNumber,Race_BroadcastName,Race_Abbreviation,Race_DriverId,Race_TeamName,Race_TeamId,Race_FirstName,Race_LastName,Race_FullName,Race_Position,Race_ClassifiedPosition,Race_GridPosition,Race_Time,Race_Status,Race_Points,Race_Laps,Qual_Position,Qual_Q1,Qual_Q2,Qual_Q3,Year,Round,EventName
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,13.0,13,16.0,,+1 Lap,0.0,56.0,16.0,0 days 00:01:30.530000,,,2018,2,Bahrain Grand Prix
18,L STROLL,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,20.0,,+1 Lap,0.0,56.0,20.0,0 days 00:01:31.503000,,,2018,2,Bahrain Grand Prix
35,S SIROTKIN,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,15.0,15,18.0,,+1 Lap,0.0,56.0,18.0,0 days 00:01:31.414000,,,2018,2,Bahrain Grand Prix
11,S PEREZ,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,16.0,16,12.0,,+1 Lap,0.0,56.0,12.0,0 days 00:01:30.218000,0 days 00:01:30.156000,,2018,2,Bahrain Grand Prix
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,17.0,17,11.0,,+1 Lap,0.0,56.0,11.0,0 days 00:01:30.412000,0 days 00:01:30.105000,,2018,2,Bahrain Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,18.0,R,2.0,,Wheel,0.0,35.0,2.0,0 days 00:01:28.951000,0 days 00:01:28.515000,0 days 00:01:28.101000,2018,2,Bahrain Grand Prix
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,19.0,R,15.0,,Puncture,0.0,3.0,15.0,0 days 00:01:29.374000,,,2018,2,Bahrain Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,20.0,R,4.0,,Electrical,0.0,1.0,5.0,0 days 00:01:29.552000,0 days 00:01:28.962000,0 days 00:01:28.398000,2018,2,Bahrain Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,6.0,0 days 01:35:36.380000,Finished,25.0,56.0,6.0,0 days 00:01:33.877000,0 days 00:01:32.688000,0 days 00:01:31.948000,2018,3,Chinese Grand Prix
77,V BOTTAS,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,3.0,0 days 00:00:08.894000,Finished,18.0,56.0,3.0,0 days 00:01:32.921000,0 days 00:01:32.063000,0 days 00:01:31.625000,2018,3,Chinese Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,3.0,3,2.0,0 days 00:00:09.637000,Finished,15.0,56.0,2.0,0 days 00:01:32.474000,0 days 00:01:32.286000,0 days 00:01:31.182000,2018,3,Chinese Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,4.0,4,4.0,0 days 00:00:16.985000,Finished,12.0,56.0,4.0,0 days 00:01:33.283000,0 days 00:01:31.914000,0 days 00:01:31.675000,2018,3,Chinese Grand Prix
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,5.0,5,5.0,0 days 00:00:20.436000,Finished,10.0,56.0,5.0,0 days 00:01:32.932000,0 days 00:01:32.809000,0 days 00:01:31.796000,2018,3,Chinese Grand Prix
27,N HULKENBERG,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,6.0,6,7.0,0 days 00:00:21.052000,Finished,8.0,56.0,7.0,0 days 00:01:33.545000,0 days 00:01:32.494000,0 days 00:01:32.532000,2018,3,Chinese Grand Prix
14,F ALONSO,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,13.0,0 days 00:00:30.639000,Finished,6.0,56.0,13.0,0 days 00:01:33.428000,0 days 00:01:33.232000,,2018,3,Chinese Grand Prix
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,8.0,8,1.0,0 days 00:00:35.286000,Finished,4.0,56.0,1.0,0 days 00:01:32.171000,0 days 00:01:32.385000,0 days 00:01:31.095000,2018,3,Chinese Grand Prix
55,C SAINZ,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,9.0,9,9.0,0 days 00:00:35.763000,Finished,2.0,56.0,9.0,0 days 00:01:33.315000,0 days 00:01:32.970000,0 days 00:01:32.819000,2018,3,Chinese Grand Prix
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,10.0,10,11.0,0 days 00:00:39.594000,Finished,1.0,56.0,11.0,0 days 00:01:33.359000,0 days 00:01:32.986000,,2018,3,Chinese Grand Prix
31,E OCON,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,11.0,11,12.0,0 days 00:00:44.050000,Finished,0.0,56.0,12.0,0 days 00:01:33.585000,0 days 00:01:33.057000,,2018,3,Chinese Grand Prix
11,S PEREZ,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,12.0,12,8.0,0 days 00:00:44.725000,Finished,0.0,56.0,8.0,0 days 00:01:33.464000,0 days 00:01:32.931000,0 days 00:01:32.758000,2018,3,Chinese Grand Prix
2,S VANDOORNE,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,13.0,13,14.0,0 days 00:00:49.373000,Finished,0.0,56.0,14.0,0 days 00:01:33.824000,0 days 00:01:33.505000,,2018,3,Chinese Grand Prix
18,L STROLL,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,14.0,14,18.0,0 days 00:00:55.490000,Finished,0.0,56.0,18.0,0 days 00:01:34.285000,,,2018,3,Chinese Grand Prix
35,S SIROTKIN,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,15.0,15,16.0,0 days 00:00:58.241000,Finished,0.0,56.0,16.0,0 days 00:01:34.062000,,,2018,3,Chinese Grand Prix
9,M ERICSSON,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,16.0,16,20.0,0 days 00:01:02.604000,Finished,0.0,56.0,20.0,0 days 00:01:34.914000,,,2018,3,Chinese Grand Prix
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,17.0,17,10.0,0 days 00:01:05.296000,Finished,0.0,56.0,10.0,0 days 00:01:33.238000,0 days 00:01:32.524000,0 days 00:01:32.855000,2018,3,Chinese Grand Prix
10,P GASLY,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,18.0,18,17.0,0 days 00:01:06.330000,Finished,0.0,56.0,17.0,0 days 00:01:34.101000,,,2018,3,Chinese Grand Prix
16,C LECLERC,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,19.0,19,19.0,0 days 00:01:22.575000,Finished,0.0,56.0,19.0,0 days 00:01:34.454000,,,2018,3,Chinese Grand Prix
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,20.0,20,15.0,,Collision damage,0.0,51.0,15.0,0 days 00:01:34.013000,0 days 00:01:33.795000,,2018,3,Chinese Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,2.0,0 days 01:43:44.291000,Finished,25.0,51.0,2.0,0 days 00:01:42.693000,0 days 00:01:42.676000,0 days 00:01:41.677000,2018,4,Azerbaijan Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,2.0,2,6.0,0 days 00:00:02.460000,Finished,18.0,51.0,6.0,0 days 00:01:42.538000,0 days 00:01:42.510000,0 days 00:01:42.490000,2018,4,Azerbaijan Grand Prix
11,S PEREZ,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,3.0,3,8.0,0 days 00:00:04.024000,Finished,15.0,51.0,8.0,0 days 00:01:43.992000,0 days 00:01:43.366000,0 days 00:01:42.547000,2018,4,Azerbaijan Grand Prix
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,1.0,0 days 00:00:05.329000,Finished,12.0,51.0,1.0,0 days 00:01:42.762000,0 days 00:01:43.015000,0 days 00:01:41.498000,2018,4,Azerbaijan Grand Prix
55,C SAINZ,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,5.0,5,9.0,0 days 00:00:07.515000,Finished,10.0,51.0,10.0,0 days 00:01:43.426000,0 days 00:01:43.464000,0 days 00:01:43.351000,2018,4,Azerbaijan Grand Prix
16,C LECLERC,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,6.0,6,13.0,0 days 00:00:09.158000,Finished,8.0,51.0,14.0,0 days 00:01:43.752000,0 days 00:01:44.074000,,2018,4,Azerbaijan Grand Prix
14,F ALONSO,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,7.0,7,12.0,0 days 00:00:10.931000,Finished,6.0,51.0,13.0,0 days 00:01:44.010000,0 days 00:01:44.019000,,2018,4,Azerbaijan Grand Prix
18,L STROLL,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,8.0,8,10.0,0 days 00:00:12.546000,Finished,4.0,51.0,11.0,0 days 00:01:44.359000,0 days 00:01:43.585000,,2018,4,Azerbaijan Grand Prix
2,S VANDOORNE,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,9.0,9,16.0,0 days 00:00:14.152000,Finished,2.0,51.0,16.0,0 days 00:01:44.489000,,,2018,4,Azerbaijan Grand Prix
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,10.0,10,19.0,0 days 00:00:18.030000,Finished,1.0,51.0,19.0,0 days 00:01:57.354000,,,2018,4,Azerbaijan Grand Prix
9,M ERICSSON,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,11.0,11,18.0,0 days 00:00:18.512000,Finished,0.0,51.0,18.0,0 days 00:01:45.541000,,,2018,4,Azerbaijan Grand Prix
10,P GASLY,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,12.0,12,17.0,0 days 00:00:24.720000,Finished,0.0,51.0,17.0,0 days 00:01:44.496000,,,2018,4,Azerbaijan Grand Prix
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,13.0,13,15.0,0 days 00:00:40.663000,Finished,0.0,51.0,15.0,0 days 00:01:43.674000,0 days 00:01:44.759000,,2018,4,Azerbaijan Grand Prix
77,V BOTTAS,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,14.0,R,3.0,,Puncture,0.0,48.0,3.0,0 days 00:01:43.355000,0 days 00:01:42.679000,0 days 00:01:41.837000,2018,4,Azerbaijan Grand Prix
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,15.0,R,20.0,,Accident,0.0,42.0,20.0,,,,2018,4,Azerbaijan Grand Prix
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,16.0,R,5.0,,Collision,0.0,39.0,5.0,0 days 00:01:42.642000,0 days 00:01:42.901000,0 days 00:01:41.994000,2018,4,Azerbaijan Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,17.0,R,4.0,,Collision,0.0,39.0,4.0,0 days 00:01:42.857000,0 days 00:01:43.482000,0 days 00:01:41.911000,2018,4,Azerbaijan Grand Prix
27,N HULKENBERG,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,18.0,R,14.0,,Accident,0.0,10.0,9.0,0 days 00:01:43.746000,0 days 00:01:43.232000,0 days 00:01:43.066000,2018,4,Azerbaijan Grand Prix
31,E OCON,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,19.0,R,7.0,,Collision,0.0,0.0,7.0,0 days 00:01:43.021000,0 days 00:01:42.967000,0 days 00:01:42.523000,2018,4,Azerbaijan Grand Prix
35,S SIROTKIN,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,20.0,R,11.0,,Collision,0.0,0.0,12.0,0 days 00:01:44.261000,0 days 00:01:43.886000,,2018,4,Azerbaijan Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,0 days 01:35:29.972000,Finished,25.0,66.0,1.0,0 days 00:01:17.633000,0 days 00:01:17.166000,0 days 00:01:16.173000,2018,5,Spanish Grand Prix
77,V BOTTAS,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,2.0,2,2.0,0 days 00:00:20.593000,Finished,18.0,66.0,2.0,0 days 00:01:17.674000,0 days 00:01:17.111000,0 days 00:01:16.213000,2018,5,Spanish Grand Prix
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,3.0,3,5.0,0 days 00:00:26.873000,Finished,15.0,66.0,5.0,0 days 00:01:17.411000,0 days 00:01:17.266000,0 days 00:01:16.816000,2018,5,Spanish Grand Prix
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,4.0,4,3.0,0 days 00:00:27.584000,Finished,12.0,66.0,3.0,0 days 00:01:17.031000,0 days 00:01:16.802000,0 days 00:01:16.305000,2018,5,Spanish Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,5.0,5,6.0,0 days 00:00:50.058000,Finished,10.0,66.0,6.0,0 days 00:01:17.623000,0 days 00:01:17.638000,0 days 00:01:16.818000,2018,5,Spanish Grand Prix
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,6.0,6,7.0,,+1 Lap,8.0,65.0,7.0,0 days 00:01:18.169000,0 days 00:01:17.618000,0 days 00:01:17.676000,2018,5,Spanish Grand Prix
55,C SAINZ,SAI,sainz,Renault,renault,Carlos,Sainz,Carlos Sainz,7.0,7,9.0,,+1 Lap,6.0,65.0,9.0,0 days 00:01:18.480000,0 days 00:01:17.803000,0 days 00:01:17.790000,2018,5,Spanish Grand Prix
14,F ALONSO,ALO,alonso,McLaren,mclaren,Fernando,Alonso,Fernando Alonso,8.0,8,8.0,,+1 Lap,4.0,65.0,8.0,0 days 00:01:18.276000,0 days 00:01:18.100000,0 days 00:01:17.721000,2018,5,Spanish Grand Prix
11,S PEREZ,PER,perez,Force India,force_india,Sergio,Perez,Sergio Perez,9.0,9,15.0,,+2 Laps,2.0,64.0,15.0,0 days 00:01:18.740000,0 days 00:01:19.098000,,2018,5,Spanish Grand Prix
16,C LECLERC,LEC,leclerc,Sauber,sauber,Charles,Leclerc,Charles Leclerc,10.0,10,14.0,,+2 Laps,1.0,64.0,14.0,0 days 00:01:18.661000,0 days 00:01:18.910000,,2018,5,Spanish Grand Prix
18,L STROLL,STR,stroll,Williams,williams,Lance,Stroll,Lance Stroll,11.0,11,18.0,,+2 Laps,0.0,64.0,19.0,0 days 00:01:20.225000,,,2018,5,Spanish Grand Prix
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,toro_rosso,Brendon,Hartley,Brendon Hartley,12.0,12,20.0,,+2 Laps,0.0,64.0,20.0,,,,2018,5,Spanish Grand Prix
9,M ERICSSON,ERI,ericsson,Sauber,sauber,Marcus,Ericsson,Marcus Ericsson,13.0,13,17.0,,+2 Laps,0.0,64.0,17.0,0 days 00:01:19.493000,,,2018,5,Spanish Grand Prix
35,S SIROTKIN,SIR,sirotkin,Williams,williams,Sergey,Sirotkin,Sergey Sirotkin,14.0,14,19.0,,+3 Laps,0.0,63.0,18.0,0 days 00:01:19.695000,,,2018,5,Spanish Grand Prix
2,S VANDOORNE,VAN,vandoorne,McLaren,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,15.0,R,11.0,,Gearbox,0.0,45.0,11.0,0 days 00:01:18.885000,0 days 00:01:18.323000,,2018,5,Spanish Grand Prix
31,E OCON,OCO,ocon,Force India,force_india,Esteban,Ocon,Esteban Ocon,16.0,R,13.0,,Oil leak,0.0,38.0,13.0,0 days 00:01:18.813000,0 days 00:01:18.696000,,2018,5,Spanish Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,17.0,R,4.0,,Turbo,0.0,25.0,4.0,0 days 00:01:17.483000,0 days 00:01:17.071000,0 days 00:01:16.612000,2018,5,Spanish Grand Prix
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,18.0,R,10.0,,Collision,0.0,0.0,10.0,0 days 00:01:18.305000,0 days 00:01:17.699000,0 days 00:01:17.835000,2018,5,Spanish Grand Prix
10,P GASLY,GAS,gasly,Toro Rosso,toro_rosso,Pierre,Gasly,Pierre Gasly,19.0,R,12.0,,Collision,0.0,0.0,12.0,0 days 00:01:18.550000,0 days 00:01:18.463000,,2018,5,Spanish Grand Prix
27,N HULKENBERG,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,20.0,R,16.0,,Collision,0.0,0.0,16.0,0 days 00:01:18.923000,,,2018,5,Spanish Grand Prix
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,red_bull,Daniel,Ricciardo,Daniel Ricciardo,1.0,1,1.0,0 days 01:42:54.807000,Finished,25.0,78.0,1.0,0 days 00:01:12.013000,0 days 00:01:11.278000,0 days 00:01:10.810000,2018,6,Monaco Grand Prix
5,S VETTEL,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,2.0,0 days 00:00:07.336000,Finished,18.0,78.0,2.0,0 days 00:01:12.415000,0 days 00:01:11.518000,0 days 00:01:11.039000,2018,6,Monaco Grand Prix
44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,3.0,3,3.0,0 days 00:00:17.013000,Finished,15.0,78.0,3.0,0 days 00:01:12.460000,0 days 00:01:11.584000,0 days 00:01:11.232000,2018,6,Monaco Grand Prix
7,K RAIKKONEN,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,4.0,4,4.0,0 days 00:00:18.127000,Finished,12.0,78.0,4.0,0 days 00:01:12.639000,0 days 00:01:11.391000,0 days 00:01:11.266000,2018,6,Monaco Grand Prix
